# Alpine Connective Geofeed
198.58.28.0/27,US,US-NE,Omaha,68102
198.58.31.0/27,US,US-NE,Fremont,68025
198.58.31.240/29,US,US-NE,Hooper,68031
198.58.31.232/29,US,US-NE,Nickerson,68044
198.58.31.224/29,US,US-NE,Craig,68019
198.58.31.216/29,US,US-NE,Uehling,68063
198.58.31.208/29,US,US-NE,Snyder,68664
198.58.31.200/29,US,US-NE,Scribner,68662
198.58.31.192/29,US,US-NE,Ames,68621
198.58.31.128/26,US,US-NE,Fremont,68025
198.58.31.112/28,US,US-NE,Fremont,68025
198.58.31.96/28,US,US-NE,Fremont,68025
198.58.30.240/28,US,US-NE,Nickerson,68044
198.58.29.240/28,US,US-NE,Elkhorn,68022
198.58.29.208/28,US,US-NE,Fremont,68025
198.58.29.160/27,US,US-NE,Omaha,68102
198.58.29.64/28,US,US-NE,Nickerson,68044
198.58.28.192/26,US,US-NE,Omaha,68102
198.58.28.176/28,US,US-NE,Omaha,68137
198.58.28.56/29,US,US-NE,Omaha,68102
198.58.28.48/29,US,US-NE,Omaha,68102
